anio,codigo,descripcion,total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,fuente,categoria
2016,6280,"Limitador de velocidad, Falta / Funciona incorrectamente",7,1,1,0,0,0,0,0,0,0,0,3,2,infracciones_2016,otras
2016,6290,"Dispositivo control gases, Falta /Mal funcionamiento",247,6,34,5,7,51,19,25,30,17,8,20,25,infracciones_2016,otras
2016,6310,Verter liquido combustible o aguas servidas,21,2,0,2,1,3,0,1,0,4,4,1,3,infracciones_2016,otras
2016,6330,Dispositivo de control de ruido y silenciador Falta /Mal funcionamiento,850,28,23,50,14,151,14,60,125,71,92,39,183,infracciones_2016,otras
2016,6350,Uso indebido e bocina,709,51,46,76,43,91,65,35,59,48,69,56,70,infracciones_2016,otras
2016,6370,Colocacion Bocinas o sirenas antirreglamentarias,21,1,1,2,1,2,2,1,3,3,1,1,3,infracciones_2016,otras
2016,6390,Uso Paragolpe antirreglamentario,32,1,2,0,2,2,4,0,6,2,3,4,6,infracciones_2016,otras
2016,6410,Falta Paragolpe,60,2,5,10,2,6,7,2,3,7,4,6,6,infracciones_2016,otras
2016,6430,Uso de Vidrios tonalizados antirreglamentarios,372,30,53,29,28,42,25,21,54,17,21,14,38,infracciones_2016,otras
2016,6450,"Falta/sin vision, Espejos Retrovisores",1012,99,141,141,66,62,60,68,119,86,41,61,68,infracciones_2016,otras
2016,6470,Falta Tapa Combustible,35,1,2,4,0,3,2,7,1,8,4,2,1,infracciones_2016,otras
2016,6490,Conducir utilizando Celular / Auriculares / Reproductor de video,79121,4795,4504,6691,4001,6311,5661,4493,6825,7003,7454,7887,13496,infracciones_2016,otras
2016,6492,Conductor redactando/enviando mensaje de texto,9811,567,714,998,655,865,810,469,764,774,896,944,1355,infracciones_2016,otras
2016,6501,Permitir Viajar personas impedidas en asiento delantero,9352,503,517,707,333,567,595,510,769,1032,1003,1098,1718,infracciones_2016,velocidad
2016,6519,No respetar limites de velocidad minimos,5,0,0,1,1,0,0,1,1,0,0,1,0,infracciones_2016,velocidad
2016,6525,Exceso Velocidad hasta 10Km/h de la Máxima permitida para el tipo de arteria,179175,9892,18879,12663,37085,6092,3338,16704,9538,9346,7288,28916,19434,infracciones_2016,velocidad
2016,6526,Exceso Velocidad más de 10Km/h y hasta 20Km/h de la Máxima permitida para el tipo de arteria,138215,10647,14393,12881,28399,7136,3070,11430,7516,6667,4549,17899,13628,infracciones_2016,velocidad
2016,6527,Exceso Velocidad hasta 20Km/h de la Máxima permitida en vías rápidas,1123034,63416,110576,103439,113502,46254,35707,140531,119902,82333,78415,151684,77275,infracciones_2016,velocidad
2016,6528,Exceso Velocidad más de 20Km/h y hasta 40Km/h de la Máxima permitida en vías rápidas,253002,20626,34498,34789,30559,11340,8012,29434,23448,12540,12283,24860,10613,infracciones_2016,velocidad
2016,6529,Exceso Velocidad más 20Km de la Máxima permitida para el tipo de arteria y hasta 140 km/h,96765,12188,14579,15627,28556,5830,1941,5322,2264,1311,840,4194,4113,infracciones_2016,velocidad
2016,6530,Exceso Velocidad más de 40Km/h de la Máxima permitida en vías rápidas y hasta 140 km/h,15263,1815,2655,2686,1458,522,524,1897,1601,373,358,1098,276,infracciones_2016,velocidad
2016,6531,Exceso Velocidad más de 140Km/h,5547,249,509,430,747,212,227,729,366,615,323,717,423,infracciones_2016,velocidad
2016,6540,Circulación en sentido contrario,2135,153,142,110,96,260,184,114,226,155,231,142,322,infracciones_2016,velocidad
2016,6560,Invasión parcial de vías,653,30,32,25,14,42,48,42,72,59,75,74,140,infracciones_2016,velocidad
2016,6580,No respetar carriles/Maniobras Peligrosas,3946,271,198,278,146,312,293,180,381,343,452,324,768,infracciones_2016,velocidad
2016,6600,Girar a izquierda/derecha en lugar prohibido,22192,1798,1228,1499,792,1820,1706,1558,2081,1780,1993,2223,3714,infracciones_2016,otras
2016,6620,No respetar paso o cartel PARE en bocacalle,97,9,2,7,5,6,14,6,15,6,8,6,13,infracciones_2016,otras
2016,6640,Marcha atras en forma indebida,244,12,15,8,25,29,32,7,17,16,27,15,41,infracciones_2016,otras
2016,6660,Forzar barrera/evadir pago peaje autopista,93455,9983,12810,10480,1120,4643,18562,9285,3359,7965,1049,1127,13072,infracciones_2016,peajes
2016,6670,Infrigir normas Transporte Sustancias Peligrosas,4,0,0,0,1,1,0,0,0,0,1,1,0,infracciones_2016,otras
2016,6680,Obstruccion de Bocacalle,1120,158,32,28,59,167,93,77,152,90,106,63,95,infracciones_2016,otras
2016,6700,No ceder Paso a Polic/Bombe/Ambula/Serv.Pub.o Urgen.,73,6,4,2,4,14,5,3,7,4,7,3,14,infracciones_2016,otras
2016,6720,Interrumpir Filas Escolares,9,0,2,1,1,0,3,1,0,1,0,0,0,infracciones_2016,otras
2016,6740,No respetar Senda Peatonal/Paso Peaton,22446,2884,5478,348,198,3510,1718,3633,1315,2018,623,329,392,infracciones_2016,otras
2016,6760,Circular por Zona/Carril o c/peso/poten./tamaño Prohibido,104848,781,6143,7853,27915,12505,18579,17105,3681,4438,3668,904,1276,infracciones_2016,carriles
2016,6761,"Carriles o vías prohíbidas (tránsito rápido,diferenciado,metrobus)",6848,1098,317,491,218,423,633,581,669,544,582,651,641,infracciones_2016,carriles
2016,6762,"Carriles o vías prohíbidas (ciclovía,contramano en contracarril)",312,29,19,15,12,15,12,11,31,23,28,51,66,infracciones_2016,otras
2016,6780,Prohibición circular según DIA/HORA/CARACTERISTICA vehíc.,210821,67,166,14032,53609,23276,24857,16983,15169,18715,27661,16226,60,infracciones_2016,otras
2016,6800,Nro.ocupantes mayor a capacidad vehiculo,363,37,34,39,21,40,18,13,22,18,24,35,62,infracciones_2016,otras
2016,6820,No respetar lugar asc/desc-acercar a acera/puertas abiertas etc(pasajeros),517,75,102,43,10,57,21,39,41,26,20,52,31,infracciones_2016,otras
2016,6830,Ocupar lugar no destinado para viajar,18,0,1,1,1,1,0,2,0,8,1,1,2,infracciones_2016,otras
2016,6840,No cumplir norma uso radio/reproductor sonido/fumar/trato al pasajero,78,5,12,5,4,4,2,2,5,5,2,27,5,infracciones_2016,otras
2016,6850,No cumplir norma horario/ropa/requisito vehiculo Tte. pasajero,16,0,1,0,7,3,0,1,0,0,1,1,2,infracciones_2016,otras
2016,6860,No Cumplir Normas s/requisitos Vehículos  Escolares c/habilitación,3,1,0,0,0,1,0,0,0,0,0,1,0,infracciones_2016,otras
2016,6862,Conducir sin poseer la licencia,1408,108,125,116,92,118,96,101,159,119,114,106,154,infracciones_2016,otras
2016,6870,No Cumplir Normas s/requisitos Vehículos de Transporte c/habilitación,77,2,4,4,4,10,8,7,10,8,5,11,4,infracciones_2016,otras
2016,6871,Servicio de Taxis Sin Habilitación,31,3,2,1,5,3,4,1,0,4,1,4,3,infracciones_2016,otras
2016,6872,Servicio de radio taxis que incumpla la normativa legal vigente,9,0,0,0,1,1,3,1,0,0,2,0,1,infracciones_2016,otras
2016,6874,Radio taxi con IRA vencido y/o que a su baja no hubiere eliminado las señales que lo identificaban,3,0,0,1,1,0,0,0,0,0,0,1,0,infracciones_2016,otras
2016,6875,"Servicio de radio taxi, titular o mandataria que realice promociones o cobre tarifa no autorizada",3,1,0,1,0,0,0,0,0,0,0,0,1,infracciones_2016,otras
2016,6876,No aplicación de la tarifa de taxi vigente,3,0,0,1,1,1,0,0,0,0,0,0,0,infracciones_2016,otras
2016,6877,No Cumplir Normas/requisitos Vehículos de Transporte sin habilitación,514,3,32,27,30,41,55,60,70,41,39,60,56,infracciones_2016,otras
2016,6880,No cumplir norma  Peso/dimen/permisos/carga descubierta/seguro(carga),19,3,2,0,1,1,1,0,1,0,2,3,5,infracciones_2016,otras
2016,6881,"Transporte de carga (transp.Explosivos, inflamables, animales, etc.)",4,1,0,1,0,1,0,0,0,0,0,0,1,infracciones_2016,otras
2016,6890,Carga y descarga fuera de hora/lugar prohibido,816,84,71,50,67,95,70,30,70,82,64,62,71,infracciones_2016,otras
2016,6900,Estac. lugar prohib./forma indebida/antirreglamentaria,1122415,77999,111612,72433,168573,91859,74483,100230,92536,71971,89689,94402,76628,infracciones_2016,estacionamiento
2016,6906,Detención en Zona Exclusiva de Motos,865,15,0,0,0,37,97,47,157,18,110,169,215,infracciones_2016,estacionamiento
2016,6910,Estac. lugar reservado(rampa/discap/paradas/garage/otros),52238,3913,3883,3031,3357,6024,5018,2602,5524,4785,4645,3383,6073,infracciones_2016,estacionamiento
2016,6920,Estac. lugar sin ticket/hora vencida,30332,1233,2136,1103,1786,2733,2380,1446,4059,3644,3219,2056,4537,infracciones_2016,estacionamiento
2016,6930,Estac. sobre vereda/parte de vereda(Particular/Moto),1,0,0,0,0,0,0,0,0,0,0,0,1,infracciones_2016,estacionamiento
2016,6935,Estacionamiento en areas peatonales,36816,1313,1958,1301,3437,2154,1849,1513,2335,2334,4911,6494,7217,infracciones_2016,estacionamiento
2016,6950,Enseñar conduccion en lugar no autorizado,26,1,4,3,2,1,0,5,2,1,2,1,4,infracciones_2016,estacionamiento
